,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year
Over Here (feat. Drake),0.794,0.592,8,-6.973,1,0.129,0.0384,1.86e-05,0.111,0.177,97.201,177827,2013
Furthest Thing,0.485,0.78,9,-5.261,0,0.142,0.149,0.0,0.0568,0.267,136.972,267373,2013
305 To My City,0.519,0.487,4,-8.803,0,0.242,0.0515,0.0,0.15,0.126,112.281,255827,2013
Cabaret (feat. Drake),0.692,0.735,8,-5.132,1,0.0881,0.106,4.59e-06,0.239,0.333,120.154,272747,2013
Know Bout Me,0.788,0.714,2,-6.757,1,0.0538,0.0437,0.0041,0.338,0.181,107.004,263347,2013
Mine (feat. Drake),0.557,0.428,5,-11.306,1,0.136,0.0673,0.0019,0.144,0.0996,103.009,378600,2014
Odio (feat. Drake),0.802,0.725,0,-5.965,0,0.0676,0.574,0.0,0.0821,0.598,128.04,225000,2014
Only,0.866,0.506,8,-6.913,0,0.469,0.359,0.0,0.0922,0.272,119.954,312187,2014
Schemin Up (feat. Drake and P. Reign),0.752,0.766,1,-5.11,1,0.251,0.338,0.0,0.0861,0.501,141.82,330770,2014
Now & Forever,0.555,0.481,10,-7.419,0,0.0322,0.124,0.0,0.101,0.0981,107.806,281320,2015
My Love (feat. Drake),0.624,0.536,2,-9.575,0,0.0799,0.109,0.000428,0.102,0.131,119.088,248432,2016
Ojuelegba (Remix),0.738,0.75,9,-7.546,0,0.0989,0.156,0.0,0.287,0.925,100.062,253104,2016
Charged Up,0.457,0.694,6,-7.018,0,0.608,0.91,0.0,0.121,0.383,177.777,189769,2015
Faithful,0.536,0.446,1,-10.489,1,0.162,0.104,1.01e-05,0.323,0.157,99.979,290133,2016
Fire & Desire,0.709,0.259,1,-14.341,0,0.0892,0.0803,0.0,0.0855,0.265,79.839,238120,2016
For Free,0.916,0.571,10,-8.241,0,0.2,0.0173,1.11e-06,0.153,0.498,103.521,183695,2016
No Shopping,0.895,0.49,10,-10.31,0,0.251,0.0125,0.00101,0.142,0.257,83.508,227727,2016
Big Amount,0.687,0.829,3,-4.204,0,0.26,0.0124,0.0,0.107,0.154,133.854,188069,2017
Wanna Know Remix (feat. Drake),0.717,0.507,4,-8.595,0,0.0445,0.0741,3.21e-05,0.241,0.198,100.017,199020,2016
No Frauds,0.865,0.553,1,-7.012,1,0.276,0.0788,3.17e-06,0.514,0.443,139.023,272453,2017
Jorja Interlude,0.735,0.373,11,-10.478,1,0.104,0.762,0.00202,0.288,0.237,123.081,107673,2017
Get It Together,0.781,0.721,5,-9.133,0,0.0514,0.0945,0.391,0.104,0.849,123.011,250337,2017
Blem,0.726,0.535,7,-7.804,0,0.0476,0.0533,1.38e-05,0.0984,0.375,98.067,216558,2017
4422,0.61,0.229,11,-12.36,0,0.0333,0.558,0.0413,0.113,0.19,111.887,186293,2017
Nothings Into Somethings,0.766,0.234,11,-7.544,0,0.159,0.332,0.00156,0.358,0.256,96.882,153725,2017
KMT,0.875,0.6,1,-6.818,1,0.0435,0.0189,0.0143,0.132,0.0906,119.987,162638,2017
Come Closer (feat. Drake),0.835,0.457,4,-7.455,0,0.204,0.138,1.96e-06,0.109,0.544,99.99,211274,2017
To the Max,0.461,0.812,10,-5.776,0,0.241,0.0184,0.000375,0.21,0.72,159.869,193902,2017
Elevate,0.755,0.47,1,-8.72,1,0.139,0.0153,0.0,0.118,0.0604,76.056,184960,2018
Emotionless,0.413,0.676,1,-5.124,1,0.213,0.0239,0.0,0.0811,0.0827,173.478,302173,2018
Sandra’s Rose,0.487,0.85,1,-5.427,1,0.25,0.047,0.0,0.142,0.523,152.102,216333,2018
Is There More,0.636,0.538,1,-7.725,1,0.312,0.738,0.0,0.149,0.514,83.508,226920,2018
Peak,0.689,0.217,9,-13.539,0,0.0387,0.847,0.000123,0.106,0.272,92.007,206027,2018
Summer Games,0.776,0.482,1,-11.268,1,0.0356,0.481,0.0457,0.11,0.128,136.015,247893,2018
Finesse,0.807,0.321,0,-8.147,0,0.0571,0.132,0.000289,0.1,0.305,94.994,182080,2018
Ratchet Happy Birthday,0.648,0.535,2,-13.295,1,0.1,0.458,0.00246,0.106,0.444,168.03,207307,2018
That’s How You Feel,0.81,0.451,10,-6.348,0,0.249,0.152,0.0537,0.108,0.359,85.417,157600,2018
Don’t Matter To Me,0.825,0.317,10,-12.39,1,0.0583,0.497,0.0128,0.11,0.136,103.001,245787,2018
Final Fantasy,0.461,0.449,0,-10.998,1,0.442,0.428,8.29e-06,0.115,0.104,86.505,219960,2018
March 14,0.5,0.419,10,-7.349,0,0.39,0.4,0.0,0.36,0.313,91.963,309560,2018
MIA (feat. Drake),0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,2018
Ela É do Tipo (feat. Drake) - Remix,0.576,0.524,6,-5.428,1,0.24,0.89,0.0,0.108,0.715,99.387,212433,2019
LOYAL (feat. Drake and Bad Bunny) - Remix,0.877,0.529,0,-6.235,0,0.0461,0.479,0.00159,0.094,0.422,104.984,281120,2020
STAYING ALIVE (feat. Drake & Lil Baby),0.718,0.461,4,-7.676,0,0.0797,0.068,0.0,0.283,0.181,129.953,178176,2022
"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",0.84,0.798,8,-5.079,1,0.0699,0.045,4.32e-05,0.172,0.695,100.175,246347,1993
I'm the One,0.599,0.667,7,-4.267,1,0.0367,0.0533,0.0,0.134,0.817,80.984,288877,2017
I Wanna Be With You,0.722,0.651,7,-3.931,1,0.126,0.13,0.0,0.219,0.405,127.801,252680,2013
Blackball,0.739,0.612,1,-5.942,1,0.176,0.0843,0.0,0.0836,0.292,149.207,239693,2013
"I Ride (feat. Boosie Badazz, Future, Rick Ross & Jeezy)",0.391,0.849,5,-3.775,0,0.288,0.0639,0.0,0.529,0.67,185.977,217013,2015
"Do You Mind (feat. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross)",0.412,0.548,10,-6.981,1,0.243,0.0173,0.0,0.181,0.176,81.293,325615,2016
I Gotta Feeling,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,289133,2009
Wild Thoughts,0.613,0.681,8,-3.089,1,0.0778,0.0287,0.0,0.126,0.619,97.621,204664,2017
Get It Up,0.681,0.62,1,-4.925,1,0.0443,0.00485,0.0,0.191,0.0499,132.998,231438,2016
Stronger ft Quavo (Migos Edition),0.797,0.626,5,-7.2,0,0.087,0.0481,5.41e-06,0.132,0.688,130.002,181147,2017
Movin (feat. Smokepurpp),0.907,0.598,11,-6.341,0,0.0921,0.0624,0.0248,0.126,0.223,122.002,125990,2017
Next,0.63,0.682,6,-7.317,1,0.0551,0.715,0.0,0.115,0.391,112.077,360107,2012
To The Moon,0.851,0.482,2,-6.136,0,0.0429,0.141,1.66e-06,0.0844,0.297,123.947,173385,2018
Some Kind Of Drug (feat. Marc E. Bassy),0.634,0.525,0,-8.968,1,0.47,0.0705,0.0,0.0729,0.49,130.271,222467,2015
Eyes Closed,0.715,0.763,11,-6.329,0,0.24,0.0468,0.0,0.103,0.395,133.987,204054,2017
Down For Me (feat. 24hrs),0.545,0.601,1,-7.85,0,0.298,0.0454,0.0,0.164,0.346,95.848,203613,2017
Waverunners,0.934,0.359,9,-10.569,0,0.37,0.488,8.29e-05,0.567,0.429,120.002,174940,2017
Spend$ (with Friends),0.794,0.31,9,-15.489,1,0.319,0.504,1.11e-06,0.0749,0.297,140.181,170640,2017
11 Ways,0.828,0.316,4,-17.249,0,0.244,0.272,0.00286,0.0824,0.187,106.011,174375,2017
Lights,0.799,0.546,9,-6.081,1,0.323,0.185,3.19e-06,0.0836,0.736,150.008,182647,2017
Priorities,0.912,0.526,6,-8.322,1,0.446,0.102,0.0,0.112,0.818,140.052,210973,2017
Who,0.846,0.635,8,-6.549,1,0.22,0.0969,0.0,0.343,0.51,110.034,192026,2016
All Around The World (feat. Desiigner),0.763,0.542,2,-7.028,1,0.044,0.457,1.24e-05,0.185,0.313,132.016,164013,2017
Check On Me,0.702,0.544,1,-9.74,1,0.0438,0.062,0.000223,0.278,0.334,140.022,190041,2016
Dirty Mouth,0.783,0.631,1,-7.704,1,0.327,0.163,0.0,0.352,0.269,129.96,167886,2017
My Blower,0.917,0.317,1,-7.786,1,0.51,0.567,0.0,0.198,0.0761,127.977,208039,2016
The Jam,0.814,0.589,10,-7.762,0,0.324,0.0145,0.0,0.114,0.375,149.08,238400,2016
Young & Reckless,0.693,0.701,1,-7.793,1,0.31,0.226,0.0,0.297,0.634,85.993,163383,2014
That's It (feat. Gucci Mane & 2 Chainz),0.783,0.361,0,-7.949,0,0.1,0.0474,0.00762,0.0861,0.413,75.0,207090,2017
GOOD MORNING AMERIKKKA,0.579,0.642,8,-7.37,1,0.244,0.6,3.52e-05,0.214,0.3,97.32,98251,2017
idfc,0.63,0.5,1,-8.755,0,0.0611,0.611,4.04e-05,0.114,0.315,144.871,245172,2015
I'm On (feat. Nas),0.763,0.908,5,-4.124,0,0.0811,0.028,1.81e-06,0.253,0.26,106.959,264667,2008
"Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih)",0.525,0.681,6,-4.158,0,0.0683,0.195,0.0,0.141,0.437,151.875,293120,2015
"Fuck Up the Club (feat. Future, Rick Ross, YG & Yo Gotti)",0.759,0.616,4,-3.767,0,0.284,0.325,0.0,0.116,0.641,76.662,231343,2016
To the Max (feat. Drake),0.461,0.812,10,-5.776,0,0.241,0.0184,0.000375,0.21,0.72,159.869,193902,2017
Billy Ocean (feat. Fat Joe & Raekwon),0.684,0.793,7,-5.282,1,0.328,0.0406,0.0,0.315,0.38,90.996,191373,2017
Turn On The Lights,0.599,0.58,6,-9.376,0,0.213,0.0419,0.0,0.181,0.402,130.849,249253,2012
3's Company (feat. Chris Brown & O.T. Genasis),0.787,0.672,1,-4.375,1,0.21,0.171,0.0,0.0805,0.591,103.038,245457,2017
Know No Better,0.738,0.814,7,-4.414,0,0.0999,0.132,9.64e-06,0.126,0.483,119.041,225850,2017
More Than You Know,0.641,0.731,5,-4.96,0,0.0339,0.0306,0.0,0.258,0.505,123.048,203000,2017
Mailbox,0.757,0.605,8,-9.288,0,0.184,0.119,7.82e-06,0.0748,0.268,139.901,195429,2017
Can You Be My Friend,0.859,0.639,1,-7.989,1,0.0628,0.00663,0.000493,0.337,0.333,102.013,167059,2017
Drank Head,0.752,0.429,4,-10.746,1,0.18,0.546,0.0,0.177,0.671,115.091,233739,2017
Slow Dance (feat. Young Chop),0.372,0.413,8,-11.509,1,0.0353,0.456,0.632,0.217,0.308,131.924,232727,2017
Citgo,0.675,0.486,10,-7.397,0,0.0482,0.595,0.0,0.1,0.414,140.073,193547,2012
Straight Outta Compton - Extended Mix / Edit,0.773,0.947,8,-5.824,1,0.249,0.117,0.0,0.44,0.464,102.146,266194,1996
No Sleep - Intro,0.867,0.505,0,-6.862,1,0.0468,0.0743,0.0,0.141,0.231,111.956,214520,2016
1st Day out Tha Feds,0.87,0.427,4,-6.711,1,0.0694,0.00122,0.000274,0.114,0.634,138.013,184400,2016
Did You See NAV?,0.883,0.456,1,-8.338,1,0.0664,0.0122,7.19e-05,0.114,0.13,130.445,217187,2017
You Know,0.858,0.348,10,-11.152,1,0.241,0.0681,0.0,0.0938,0.109,120.997,209347,2017
I Am,0.632,0.47,7,-9.197,0,0.0671,0.103,5.16e-05,0.0927,0.138,142.112,252627,2017
NAV,0.649,0.561,0,-6.297,0,0.102,0.0273,0.0,0.122,0.311,170.036,182880,2017
My Mind,0.726,0.728,8,-5.586,0,0.0907,0.0407,0.0,0.251,0.627,143.019,161107,2017
Good For It,0.781,0.792,9,-6.68,0,0.358,0.0051,0.0,0.563,0.527,160.042,159000,2017
Mariah,0.58,0.443,0,-10.05,0,0.0567,0.342,0.0,0.102,0.5,72.573,162187,2017
TTD,0.684,0.356,9,-10.14,0,0.0418,0.49,3.09e-06,0.226,0.179,95.944,242587,2017
I Got Time,0.77,0.639,10,-5.886,0,0.0369,0.139,0.0,0.0863,0.646,120.036,230236,2017
Θ. Macarena,0.777,0.554,2,-8.179,1,0.0572,0.182,1.7e-06,0.0477,0.27,129.933,206840,2017
KK (feat. Project Pat & Juicy J),0.71,0.799,10,-3.269,1,0.0592,0.0664,0.0,0.389,0.28,150.026,249178,2014
Teach You To Fly,0.739,0.755,8,-6.025,0,0.0395,0.0687,0.0,0.063,0.588,123.014,226923,2009
Time of Our Lives,0.721,0.802,1,-5.797,1,0.0583,0.0921,0.0,0.694,0.724,124.022,229360,2014
All Night (feat. Knox Fortune),0.704,0.777,2,-5.729,1,0.195,0.0358,0.0,0.151,0.392,111.921,141542,2016
Lemon,0.916,0.727,1,-6.556,1,0.0861,0.00214,0.000145,0.118,0.201,94.997,219707,2017
Deep Down Body Thurst,0.65,0.545,0,-7.314,1,0.0386,0.484,0.0026,0.129,0.25,179.936,251293,2017
Voilà,0.585,0.608,6,-4.506,1,0.226,0.0907,1.37e-05,0.0911,0.658,154.102,260880,2017
1000,0.699,0.89,6,-3.525,1,0.226,0.112,0.0,0.12,0.721,168.07,243853,2017
Don't Don't Do It!,0.799,0.871,2,-5.784,1,0.138,0.12,0.0,0.0688,0.811,77.013,257707,2017
ESP,0.848,0.642,9,-5.491,1,0.0746,0.37,4.56e-06,0.339,0.583,120.025,329333,2017
Lightning Fire Magic Prayer,0.733,0.54,7,-5.488,0,0.034,0.547,0.00022,0.862,0.18,95.003,464827,2017
Rollinem 7's,0.488,0.684,0,-5.63,1,0.357,0.0962,1.83e-05,0.107,0.284,200.038,309453,2017
Kites,0.571,0.725,1,-6.809,1,0.397,0.104,0.0,0.0856,0.687,200.03,290933,2017
Secret Life Of Tigers,0.794,0.822,1,-5.455,1,0.103,0.0911,2.08e-05,0.0814,0.372,135.013,225987,2017
Lifting You,0.761,0.509,2,-6.186,1,0.134,0.124,0.0151,0.0832,0.578,170.038,222960,2017
Worry No More (feat. Lil Yachty & Santigold),0.592,0.731,7,-5.794,0,0.0404,0.0185,0.0,0.726,0.392,166.028,202563,2018
Hurt To Look (feat. Rae Sremmurd),0.622,0.677,2,-5.615,0,0.114,0.162,1.14e-05,0.122,0.217,104.99,256000,2018
The Magic,0.573,0.641,7,-6.107,1,0.335,0.239,1.47e-06,0.0765,0.917,115.544,262613,2005
10 2 10 - Remix,0.664,0.807,1,-4.864,1,0.117,0.0865,0.0,0.335,0.414,113.907,292547,2014
No More Interviews,0.616,0.818,10,-4.883,0,0.272,0.291,0.0,0.141,0.559,98.274,201280,2016
Ain't Gonna Die Tonight (feat. Eric Nally),0.687,0.768,7,-5.579,0,0.14,0.232,0.0,0.118,0.865,81.977,214720,2017
Switch Up,0.652,0.743,5,-6.536,0,0.191,0.0323,0.0,0.358,0.768,144.035,309920,2013
So Much More,0.493,0.929,11,-4.541,1,0.101,0.0129,0.0,0.153,0.573,86.266,354427,2011
What Goes Around,0.519,0.885,1,-6.184,0,0.112,0.00146,8.21e-05,0.118,0.445,78.993,258693,2011
The Way I Are (Dance with Somebody) [feat. Lil Wayne],0.466,0.659,2,-6.077,1,0.115,0.00282,0.0,0.273,0.36,186.169,187787,2017
What U Doin?,0.614,0.903,1,-4.339,1,0.297,0.151,0.0,0.127,0.734,154.192,156000,2010
Back to Me,0.683,0.602,6,-8.368,0,0.318,0.0712,0.0,0.0841,0.488,147.105,219272,2017
Everything Will Be Fine,0.809,0.812,9,-8.714,0,0.108,0.0605,0.0,0.125,0.31,87.971,248182,2017
Bad Luck,0.764,0.539,6,-9.154,1,0.147,0.554,0.0,0.089,0.551,82.913,208953,2017
Grandpa's Space Ship,0.719,0.167,1,-18.942,1,0.889,0.266,0.0,0.152,0.161,119.082,122093,2018
Contact,0.629,0.656,0,-7.978,1,0.0446,0.137,0.298,0.107,0.285,135.996,163173,2015
Upgrade,0.664,0.821,7,-6.134,0,0.0698,0.0904,6.7e-06,0.134,0.362,165.977,173493,2015
White People - Scene,0.579,0.372,1,-13.62,1,0.383,0.0313,0.00204,0.165,0.282,98.541,99267,2015
Innermission,0.741,0.759,8,-4.387,1,0.21,0.58,0.0,0.103,0.49,95.101,240053,2015
The Cube - Scene,0.453,0.245,1,-21.583,1,0.302,0.117,0.0021,0.114,0.125,176.405,27240,2015
Lord Willin',0.648,0.85,6,-4.248,0,0.0561,0.123,0.000347,0.0529,0.567,170.061,208667,2015
City Of Stars,0.464,0.873,0,-5.793,1,0.135,0.119,0.0245,0.225,0.607,90.137,376640,2015
Babel - Scene,0.573,0.326,1,-16.385,1,0.487,0.126,2.78e-05,0.121,0.301,114.383,71307,2015
Never Been,0.664,0.795,10,-6.083,0,0.0448,0.11,4.53e-06,0.575,0.64,101.079,247133,2015
Run It,0.863,0.815,11,-6.242,0,0.232,0.216,0.0,0.0887,0.636,108.972,200800,2015
Lucidity - Scene,0.514,0.174,1,-19.674,1,0.432,0.608,0.00581,0.11,0.253,138.901,55813,2015
The Incredible True Story,0.418,0.771,10,-7.188,0,0.0738,0.0607,0.00604,0.449,0.405,97.3,416693,2015
illuminatro,0.416,0.263,8,-17.614,1,0.228,0.522,0.739,0.388,0.152,82.099,48133,2016
Slave II,0.515,0.508,10,-5.997,0,0.16,0.026,0.00279,0.108,0.129,90.507,196893,2016
A Word From Our Sponsor,0.707,0.497,0,-9.613,1,0.755,0.824,0.0,0.626,0.774,127.971,182440,2016
Studio Ambience At Night: Malibu,0.319,0.782,10,-8.82,1,0.503,0.554,0.0,0.82,0.497,79.807,56360,2016
Slave,0.83,0.707,4,-7.426,0,0.048,0.0445,1.87e-05,0.144,0.255,122.986,179640,2016
25 Lighters,0.909,0.627,4,-8.666,0,0.393,0.0383,0.0,0.0767,0.785,151.964,213484,2018
Keep It Going,0.783,0.743,1,-3.644,0,0.066,0.0842,0.0,0.105,0.464,138.078,144405,2018
New One,0.608,0.419,2,-9.821,1,0.167,0.0978,0.0,0.157,0.392,80.826,173400,2018
L O Well,0.739,0.648,5,-6.3,0,0.048,0.0985,5.41e-06,0.149,0.46,124.92,159360,2018
Bossin',0.785,0.723,4,-6.325,0,0.136,0.0071,0.0,0.158,0.404,79.99,159000,2018
Shit You Love,0.713,0.781,5,-4.375,0,0.0468,0.0115,0.0,0.251,0.653,160.038,195000,2017
Shining,0.827,0.813,5,-4.477,0,0.0484,0.0394,0.0,0.304,0.795,120.025,191985,2017
Pace,0.529,0.635,8,-8.271,0,0.296,0.0931,0.000491,0.119,0.558,90.035,161333,2017
Introduction (instructions),0.678,0.481,10,-20.18,0,0.92,0.868,0.0,0.431,0.0684,88.828,117483,2018
love yourself (interlude),0.746,0.338,11,-13.472,0,0.109,0.674,0.000375,0.529,0.469,120.053,48423,2018
Bag,0.857,0.457,9,-8.939,0,0.297,0.0811,0.0,0.191,0.616,132.01,196993,2018
Reckless Intro,0.819,0.669,5,-5.202,0,0.275,0.266,7.66e-06,0.111,0.474,80.046,142547,2018
Hold Your Hand,0.766,0.614,5,-5.431,0,0.0484,0.19,0.0,0.157,0.299,134.028,234853,2018
Just Happened,0.81,0.52,7,-7.3,1,0.0793,0.0575,0.0,0.0879,0.142,130.088,201067,2018
With Me,0.809,0.776,1,-4.746,0,0.224,0.205,0.0,0.113,0.697,155.037,174320,2018
What I Need / Daheala Outro,0.578,0.486,0,-7.321,1,0.252,0.103,0.0,0.0766,0.29,153.1,300987,2018
Light Tunnels (feat. Mike Slap),0.539,0.852,10,-6.062,0,0.248,0.507,0.0,0.0851,0.518,99.636,397707,2016
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",0.828,0.609,1,-4.402,1,0.0694,0.0916,1.21e-06,0.291,0.707,109.725,292593,2016
Brad Pitt's Cousin (feat. Xperience),0.784,0.836,3,-3.248,1,0.25,0.164,0.0,0.33,0.928,130.833,191627,2016
Buckshot (feat. KRS-One & DJ Premier),0.61,0.92,7,-4.45,1,0.152,0.0369,0.0,0.386,0.81,88.015,213667,2016
Growing Up (feat. Ed Sheeran),0.74,0.549,9,-7.072,1,0.303,0.178,0.0,0.114,0.469,85.16,305240,2016
Kevin (feat. Leon Bridges),0.5,0.693,8,-7.078,1,0.445,0.546,0.0,0.151,0.371,190.511,280200,2016
St. Ides,0.812,0.524,2,-10.549,1,0.0656,0.617,0.0101,0.106,0.043,107.71,219107,2016
Need To Know (feat. Chance The Rapper),0.603,0.49,6,-8.58,1,0.129,0.402,4.04e-06,0.125,0.331,85.876,232000,2016
Dance Off (feat. Idris Elba & Anderson .Paak),0.77,0.818,7,-3.914,1,0.0533,0.0411,0.000127,0.164,0.459,120.979,229680,2016
Let's Eat (feat. Xperience),0.747,0.668,0,-6.76,0,0.0772,0.79,0.0,0.271,0.77,107.661,175480,2016
Bolo Tie (feat. YG),0.861,0.709,2,-6.14,1,0.259,0.0753,0.0,0.329,0.418,109.018,217413,2016
The Train (feat. Carla Morrison),0.678,0.415,0,-11.561,1,0.139,0.665,0.0,0.106,0.333,114.987,187213,2016
White Privilege II (feat. Jamila Woods),0.519,0.574,1,-7.696,1,0.184,0.633,0.0,0.271,0.434,100.22,525800,2016
Ten Thousand Hours,0.374,0.758,3,-7.566,0,0.305,0.199,0.0,0.144,0.535,83.821,249534,2012
Can't Hold Us (feat. Ray Dalton),0.634,0.927,2,-4.468,1,0.0838,0.027,0.0,0.0986,0.88,146.094,258432,2012
Thrift Shop (feat. Wanz),0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,235613,2012
Thin Line (feat. Buffalo Madonna),0.713,0.813,1,-6.54,1,0.26,0.619,1.43e-05,0.122,0.12,104.8,256180,2012
Same Love (feat. Mary Lambert),0.56,0.475,8,-9.05,1,0.173,0.718,2.18e-05,0.0994,0.308,84.899,320035,2012
Make The Money,0.608,0.917,2,-5.993,0,0.27,0.167,1.39e-05,0.366,0.462,88.733,224834,2012
Neon Cathedral (feat. Allen Stone),0.483,0.593,4,-8.84,0,0.457,0.385,0.0,0.08,0.542,164.187,274285,2012
BomBom (feat. The Teaching),0.765,0.582,1,-10.075,0,0.0415,0.768,0.903,0.111,0.262,126.477,295679,2012
White Walls (feat. ScHoolboy Q & Hollis),0.767,0.782,7,-5.545,1,0.14,0.0541,0.0,0.338,0.827,116.491,220319,2012
Jimmy Iovine (feat. Ab-Soul),0.557,0.849,7,-5.559,1,0.316,0.116,0.0,0.0855,0.674,76.939,233196,2012
Wing$,0.399,0.599,3,-6.987,1,0.204,0.362,0.0,0.188,0.0911,73.051,299600,2012
A Wake (feat. Evan Roman),0.687,0.736,10,-7.481,1,0.106,0.165,0.00502,0.0711,0.449,101.151,226049,2012
Gold (feat. Eighty4 Fly),0.495,0.675,5,-5.015,1,0.148,0.0998,0.0,0.0873,0.624,172.023,251510,2012
Starting Over (feat. Ben Bridwell),0.537,0.873,6,-6.505,1,0.408,0.723,0.00946,0.684,0.644,164.074,251196,2012
Cowboy Boots,0.588,0.632,8,-9.026,1,0.275,0.0339,0.00936,0.115,0.444,145.979,257856,2012
My Oh My,0.432,0.807,1,-6.572,1,0.438,0.287,0.0,0.219,0.254,177.751,257053,2012
Victory Lap,0.663,0.783,7,-5.612,1,0.18,0.155,0.0,0.061,0.624,91.018,213718,2012
Drop (feat. Blac Youngsta & BlocBoy JB),0.858,0.65,8,-4.919,1,0.241,0.0066,2.07e-06,0.121,0.653,147.031,210545,2018
Green Gucci Suit (feat. Future),0.774,0.837,6,-2.066,0,0.213,0.0404,0.0,0.304,0.457,97.043,267532,2018
Stay Woke (feat. Miguel),0.461,0.694,1,-6.636,1,0.158,0.047,0.0,0.0938,0.117,94.216,212501,2018
Rebirth,0.518,0.802,0,-5.045,1,0.461,0.0819,0.000818,0.235,0.412,126.09,135173,2016
Hungry Ham (feat. Skrillex & Crystal Caines),0.698,0.908,1,-4.855,1,0.286,0.173,0.0,0.661,0.741,79.982,215960,2016
Strive (feat. Missy Elliott),0.835,0.818,11,-6.292,0,0.134,0.337,0.0,0.0888,0.829,123.984,170333,2016
Meet My Crazy Uncle (Skit),0.632,0.754,9,-5.481,1,0.56,0.551,0.0,0.771,0.507,140.003,22533,2016
Yammy Gang (feat. A$AP Mob & Tatiana Paulino),0.674,0.567,1,-8.342,0,0.289,0.071,0.000583,0.253,0.275,101.372,153467,2016
Beautiful People (feat. Chuck D & Mama Ferg),0.622,0.716,9,-5.951,0,0.251,0.495,0.0,0.327,0.506,90.886,195200,2016
Damn Not Again (Skit),0.727,0.316,5,-12.859,0,0.83,0.982,8.46e-05,0.555,0.966,89.195,21840,2016
Phone Call With Breezy (Skit),0.742,0.321,5,-13.509,1,0.888,0.92,3.54e-06,0.916,0.864,97.028,41480,2016
I Love You (feat. Chris Brown & Ty Dolla $ign),0.638,0.661,10,-7.413,0,0.1,0.039,0.0,0.082,0.425,92.974,227747,2016
Grandma (Skit),0.414,0.28,1,-12.883,1,0.119,0.877,8.74e-06,0.384,0.902,99.524,20053,2016
Grandma,0.36,0.785,1,-7.123,1,0.136,0.138,8.69e-06,0.115,0.141,165.988,230453,2016
House Of Balloons / Glass Table Girls,0.65,0.711,0,-5.417,1,0.0377,0.0123,0.00943,0.301,0.319,89.019,405213,2012
The Party & The After Party,0.438,0.634,5,-7.456,0,0.337,0.476,0.0,0.113,0.397,203.585,459387,2012
Coming Down,0.665,0.612,2,-4.664,0,0.0314,0.487,0.000194,0.183,0.25,120.989,295453,2012
Loft Music,0.287,0.498,6,-7.523,0,0.177,0.581,7.56e-05,0.322,0.0634,171.725,363640,2012
The Knowing,0.451,0.573,6,-8.277,0,0.0303,0.571,0.00744,0.172,0.087,85.921,340333,2012
Twenty Eight,0.639,0.633,3,-7.338,0,0.0352,0.574,0.000218,0.111,0.243,129.996,258453,2012
Lonely Star,0.458,0.705,4,-5.463,0,0.0672,0.395,0.0195,0.601,0.15,157.97,349213,2012
Life Of The Party,0.554,0.696,9,-7.664,1,0.0335,0.0237,4.51e-05,0.505,0.446,138.051,296227,2012
Thursday,0.307,0.625,5,-8.983,0,0.062,0.472,0.000577,0.144,0.183,180.467,320027,2012
The Birds Pt. 1,0.571,0.692,0,-6.656,0,0.0545,0.0245,0.0,0.0813,0.22,127.937,214187,2012
The Birds Pt. 2,0.296,0.518,9,-9.571,0,0.0489,0.745,3.31e-05,0.462,0.0755,183.672,350640,2012
Heaven Or Las Vegas,0.524,0.708,11,-8.217,0,0.0603,0.014,0.000166,0.13,0.183,125.025,353307,2012
Valerie,0.641,0.539,5,-6.351,0,0.0463,0.346,7.04e-06,0.0837,0.436,148.004,286680,2012
D.D.,0.68,0.707,7,-7.225,0,0.0987,0.479,0.0,0.511,0.382,119.993,275493,2012
Montreal,0.497,0.803,5,-4.46,0,0.132,0.0447,1.77e-05,0.424,0.155,183.883,250520,2012
XO / The Host,0.438,0.593,2,-7.786,1,0.049,0.375,1.8e-05,0.388,0.0791,127.994,443987,2012
Initiation,0.659,0.526,1,-7.318,1,0.14,0.45,0.0,0.292,0.495,139.748,260693,2012
The Fall,0.464,0.688,1,-7.444,1,0.0549,0.248,0.000261,0.629,0.183,75.054,345160,2012
Echoes Of Silence,0.214,0.156,6,-17.515,0,0.0443,0.951,0.00797,0.101,0.132,75.654,240067,2012
Till Dawn (Here Comes The Sun),0.697,0.542,9,-8.946,0,0.0437,0.821,0.000452,0.134,0.547,99.988,319693,2012
Summer Friends (feat. Jeremih & Francis & The Lights),0.693,0.426,8,-12.476,1,0.302,0.675,1.03e-05,0.115,0.477,144.796,290316,2016
How Great (feat. Jay Electronica & My cousin Nicole),0.439,0.483,2,-9.449,1,0.315,0.477,0.0,0.553,0.292,78.442,337423,2016
